epoch,phase,lr,word_dropout,loss_total,loss_lm,loss_nce,loss_attn,loss_vocab,loss_disc,val_primary_key,val_primary,val_bleu4,val_bertscore_f1,best_metric,epoch_time_s
1,1,1.25e-05,0.0000,23.578196,13.149342,3.476284,0.000000,0.271493,0.000000,bertscore_f1_free,0.626212,0.000301,0.626212,0.626212,59.6
2,1,2.50e-05,0.0000,18.186317,8.613067,3.191083,0.000000,0.044911,0.000000,bertscore_f1_free,0.610574,0.000402,0.610574,0.626212,56.5
3,1,3.74e-05,0.0000,17.284740,8.260225,3.008172,0.000000,0.030959,0.000000,bertscore_f1_free,0.614222,0.000430,0.614222,0.626212,65.4
4,1,4.99e-05,0.0000,16.531982,8.076546,2.818479,0.000000,0.023932,0.000000,bertscore_f1_free,0.616391,0.001080,0.616391,0.626212,62.1
5,1,6.24e-05,0.0000,16.051787,7.913856,2.712644,0.000000,0.019353,0.000000,bertscore_f1_free,0.618865,0.002502,0.618865,0.626212,61.8
6,1,7.49e-05,0.0000,15.642782,7.777139,2.621881,0.000000,0.016502,0.000000,bertscore_f1_free,0.626377,0.001865,0.626377,0.626377,55.2
7,1,7.99e-05,0.0000,15.350176,7.588908,2.587090,0.000000,0.015526,0.000000,bertscore_f1_free,0.670665,0.004063,0.670665,0.670665,54.8
8,1,7.91e-05,0.0000,13.648200,5.957233,2.563655,0.000000,0.028060,0.000000,bertscore_f1_free,0.669232,0.005211,0.669232,0.670665,55.3
9,1,7.76e-05,0.0000,12.883047,5.288453,2.531532,0.000000,0.027712,0.000000,bertscore_f1_free,0.670082,0.007038,0.670082,0.670665,54.9
10,1,7.55e-05,0.0000,12.695787,5.211740,2.494682,0.000000,0.025085,0.000000,bertscore_f1_free,0.673899,0.005423,0.673899,0.673899,55.6
11,1,7.27e-05,0.0000,12.545561,5.182307,2.454418,0.000000,0.023534,0.000000,bertscore_f1_free,0.673333,0.008196,0.673333,0.673899,55.4
12,1,6.93e-05,0.0000,12.377089,5.136669,2.413473,0.000000,0.022281,0.000000,bertscore_f1_free,0.672790,0.006564,0.672790,0.673899,55.3
13,1,6.54e-05,0.0000,12.289878,5.114115,2.391921,0.000000,0.020992,0.000000,bertscore_f1_free,0.672381,0.006741,0.672381,0.673899,55.0
14,1,6.11e-05,0.0000,12.190419,5.105951,2.361489,0.000000,0.020123,0.000000,bertscore_f1_free,0.667885,0.007441,0.667885,0.673899,54.7
15,1,5.64e-05,0.0000,12.080197,5.080607,2.333197,0.000000,0.019424,0.000000,bertscore_f1_free,0.671566,0.007470,0.671566,0.673899,54.6
16,1,5.14e-05,0.0000,11.991167,5.066585,2.308194,0.000000,0.018707,0.000000,bertscore_f1_free,0.672461,0.008715,0.672461,0.673899,54.7
17,1,4.61e-05,0.0000,11.926377,5.068548,2.285943,0.000000,0.018187,0.000000,bertscore_f1_free,0.673053,0.007761,0.673053,0.673899,54.6
18,1,4.08e-05,0.0000,11.843571,5.051142,2.264143,0.000000,0.017710,0.000000,bertscore_f1_free,0.669865,0.007561,0.669865,0.673899,59.8
19,1,3.55e-05,0.0000,11.746670,5.044649,2.234007,0.000000,0.017450,0.000000,bertscore_f1_free,0.669050,0.007003,0.669050,0.673899,60.5
20,1,3.02e-05,0.0000,11.682988,5.045770,2.212406,0.000000,0.017109,0.000000,bertscore_f1_free,0.673039,0.007490,0.673039,0.673899,54.5
21,1,2.51e-05,0.0000,11.594697,5.028860,2.188612,0.000000,0.016892,0.000000,bertscore_f1_free,0.671495,0.007136,0.671495,0.673899,55.2
22,1,2.03e-05,0.0000,11.576293,5.027968,2.182775,0.000000,0.016745,0.000000,bertscore_f1_free,0.671153,0.007858,0.671153,0.673899,55.2
23,1,1.58e-05,0.0000,11.496954,5.021199,2.158585,0.000000,0.016588,0.000000,bertscore_f1_free,0.671157,0.007454,0.671157,0.673899,55.0
24,1,1.18e-05,0.0000,11.452571,5.019281,2.144430,0.000000,0.016456,0.000000,bertscore_f1_free,0.672457,0.007489,0.672457,0.673899,57.8
25,1,8.28e-06,0.0000,11.420745,5.015779,2.134989,0.000000,0.016342,0.000000,bertscore_f1_free,0.672088,0.008081,0.672088,0.673899,61.7
26,1,5.31e-06,0.0000,11.373454,5.014430,2.119675,0.000000,0.016259,0.000000,bertscore_f1_free,0.671187,0.007803,0.671187,0.673899,58.7
27,1,2.97e-06,0.0000,11.346304,5.010637,2.111889,0.000000,0.016200,0.000000,bertscore_f1_free,0.671623,0.007650,0.671623,0.673899,59.8
28,1,1.28e-06,0.0000,11.355492,5.012257,2.114412,0.000000,0.016187,0.000000,bertscore_f1_free,0.671214,0.007508,0.671214,0.673899,58.7
