epoch,phase,lr,word_dropout,loss_total,loss_lm,loss_nce,loss_attn,loss_vocab,loss_disc,val_primary_key,val_primary,val_bleu4,val_bertscore_f1,best_metric,epoch_time_s
1,1,1.25e-05,0.0000,22.239106,11.691721,3.515795,0.000000,0.499915,0.000000,bertscore_f1_free,0.618182,0.000996,0.618182,0.618182,55.3
2,1,2.50e-05,0.0000,19.646270,9.370610,3.425220,0.000000,0.147690,0.000000,bertscore_f1_free,0.609233,0.000775,0.609233,0.618182,60.0
3,1,3.74e-05,0.0000,18.050509,8.590878,3.153210,0.000000,0.038561,0.000000,bertscore_f1_free,0.611031,0.000394,0.611031,0.618182,70.5
4,1,4.99e-05,0.0000,16.815706,8.371497,2.814736,0.000000,0.028332,0.000000,bertscore_f1_free,0.612181,0.000774,0.612181,0.618182,60.5
5,1,6.24e-05,0.0000,16.250175,8.241092,2.669694,0.000000,0.022340,0.000000,bertscore_f1_free,0.613139,0.000935,0.613139,0.618182,57.4
6,1,7.49e-05,0.0000,15.846037,8.133923,2.570705,0.000000,0.018675,0.000000,bertscore_f1_free,0.615470,0.001019,0.615470,0.618182,57.9
7,1,7.99e-05,0.0000,15.535896,8.010353,2.508514,0.000000,0.016623,0.000000,bertscore_f1_free,0.618283,0.001694,0.618283,0.618283,61.8
8,1,7.91e-05,0.0000,15.118854,7.836287,2.427522,0.000000,0.016528,0.000000,bertscore_f1_free,0.643431,0.002592,0.643431,0.643431,62.0
9,1,7.76e-05,0.0000,13.488116,6.347613,2.380168,0.000000,0.039750,0.000000,bertscore_f1_free,0.673097,0.004263,0.673097,0.673097,57.8
10,1,7.55e-05,0.0000,12.441293,5.453575,2.329239,0.000000,0.040092,0.000000,bertscore_f1_free,0.674596,0.004796,0.674596,0.674596,64.7
11,1,7.27e-05,0.0000,12.164867,5.366343,2.266175,0.000000,0.033809,0.000000,bertscore_f1_free,0.674861,0.004817,0.674861,0.674861,55.9
12,1,6.93e-05,0.0000,11.970508,5.329939,2.213523,0.000000,0.030833,0.000000,bertscore_f1_free,0.676769,0.005468,0.676769,0.676769,55.2
13,1,6.54e-05,0.0000,11.808263,5.308203,2.166687,0.000000,0.028889,0.000000,bertscore_f1_free,0.676499,0.005388,0.676499,0.676769,54.7
14,1,6.11e-05,0.0000,11.673996,5.296935,2.125687,0.000000,0.027564,0.000000,bertscore_f1_free,0.676185,0.004384,0.676185,0.676769,54.4
15,1,5.64e-05,0.0000,11.513407,5.281006,2.077467,0.000000,0.026664,0.000000,bertscore_f1_free,0.677173,0.005870,0.677173,0.677173,55.9
16,1,5.14e-05,0.0000,11.353400,5.262148,2.030418,0.000000,0.025795,0.000000,bertscore_f1_free,0.677988,0.006496,0.677988,0.677988,55.0
17,1,4.61e-05,0.0000,11.222419,5.257135,1.988428,0.000000,0.025083,0.000000,bertscore_f1_free,0.678451,0.006090,0.678451,0.678451,55.3
18,1,4.08e-05,0.0000,11.113523,5.250303,1.954407,0.000000,0.024499,0.000000,bertscore_f1_free,0.678071,0.005727,0.678071,0.678451,62.9
19,1,3.55e-05,0.0000,10.989193,5.244037,1.915052,0.000000,0.024028,0.000000,bertscore_f1_free,0.678894,0.005635,0.678894,0.678894,63.5
20,1,3.02e-05,0.0000,10.871737,5.231494,1.880081,0.000000,0.023601,0.000000,bertscore_f1_free,0.680072,0.006293,0.680072,0.680072,67.9
21,1,2.51e-05,0.0000,10.779136,5.229757,1.849793,0.000000,0.023234,0.000000,bertscore_f1_free,0.679345,0.006246,0.679345,0.680072,61.3
22,1,2.03e-05,0.0000,10.691831,5.229244,1.820863,0.000000,0.023011,0.000000,bertscore_f1_free,0.678165,0.006543,0.678165,0.680072,62.3
23,1,1.58e-05,0.0000,10.633695,5.221026,1.804223,0.000000,0.022795,0.000000,bertscore_f1_free,0.679191,0.006876,0.679191,0.680072,61.7
24,1,1.18e-05,0.0000,10.554839,5.216974,1.779288,0.000000,0.022595,0.000000,bertscore_f1_free,0.678677,0.006403,0.678677,0.680072,61.8
25,1,8.28e-06,0.0000,10.522478,5.221311,1.767056,0.000000,0.022441,0.000000,bertscore_f1_free,0.677792,0.006165,0.677792,0.680072,62.0
26,1,5.31e-06,0.0000,10.477141,5.214109,1.754344,0.000000,0.022363,0.000000,bertscore_f1_free,0.678708,0.006618,0.678708,0.680072,59.2
27,1,2.97e-06,0.0000,10.448152,5.214465,1.744562,0.000000,0.022293,0.000000,bertscore_f1_free,0.678692,0.006146,0.678692,0.680072,61.3
28,1,1.28e-06,0.0000,10.437613,5.215099,1.740838,0.000000,0.022249,0.000000,bertscore_f1_free,0.678456,0.006123,0.678456,0.680072,61.8
29,1,2.88e-07,0.0000,10.418920,5.211965,1.735652,0.000000,0.022231,0.000000,bertscore_f1_free,0.678626,0.006383,0.678626,0.680072,60.7
30,1,3.76e-09,0.0000,10.411611,5.214984,1.732209,0.000000,0.022225,0.000000,bertscore_f1_free,0.678597,0.006375,0.678597,0.680072,60.8
31,2,3.90e-06,0.3500,10.670477,7.111328,1.186383,0.000000,0.022016,1.357879,bertscore_f1_free,0.677757,0.003209,0.677757,0.680072,142.5
32,2,7.80e-06,0.3572,10.298997,6.733830,1.188389,0.000000,0.021340,1.249951,bertscore_f1_free,0.661497,0.002799,0.661497,0.680072,149.1
33,2,1.17e-05,0.3645,10.140905,6.572281,1.189541,0.000000,0.020679,1.166707,bertscore_f1_free,0.661688,0.003078,0.661688,0.680072,145.3
34,2,1.56e-05,0.3717,9.970988,6.434148,1.178947,0.000000,0.019935,1.100742,bertscore_f1_free,0.670421,0.004557,0.670421,0.680072,150.4
35,2,1.95e-05,0.3790,9.861283,6.322264,1.179673,0.000000,0.019116,1.066058,bertscore_f1_free,0.674886,0.007088,0.674886,0.680072,147.2
36,2,2.34e-05,0.3862,9.760233,6.213497,1.182246,0.000000,0.018290,1.020013,bertscore_f1_free,0.678102,0.010955,0.678102,0.680072,148.2
37,2,2.50e-05,0.3935,9.611490,6.106942,1.168183,0.000000,0.017472,0.972419,bertscore_f1_free,0.682448,0.013214,0.682448,0.682448,149.0
38,2,2.50e-05,0.4007,9.477504,6.003912,1.157864,0.000000,0.016766,0.935164,bertscore_f1_free,0.681416,0.013513,0.681416,0.682448,145.3
39,2,2.49e-05,0.4080,9.346054,5.915629,1.143475,0.000000,0.016205,0.892576,bertscore_f1_free,0.684534,0.012455,0.684534,0.684534,144.3
40,2,2.48e-05,0.4152,9.248454,5.836295,1.137386,0.000000,0.015699,0.854909,bertscore_f1_free,0.690360,0.012795,0.690360,0.690360,145.8
41,2,2.47e-05,0.4225,9.157072,5.768313,1.129586,0.000000,0.015288,0.831024,bertscore_f1_free,0.692689,0.015358,0.692689,0.692689,143.2
42,2,2.45e-05,0.4297,9.064292,5.702772,1.120507,0.000000,0.014913,0.818442,bertscore_f1_free,0.692165,0.013293,0.692165,0.692689,145.8
43,2,2.43e-05,0.4370,8.957278,5.649032,1.102749,0.000000,0.014581,0.783926,bertscore_f1_free,0.692494,0.015866,0.692494,0.692689,145.6
44,2,2.41e-05,0.4442,8.884329,5.595650,1.096226,0.000000,0.014279,0.748158,bertscore_f1_free,0.693415,0.014806,0.693415,0.693415,147.8
45,2,2.39e-05,0.4514,8.816104,5.560620,1.085161,0.000000,0.014023,0.752302,bertscore_f1_free,0.691721,0.014304,0.691721,0.693415,145.2
46,2,2.36e-05,0.4587,8.742825,5.523504,1.073107,0.000000,0.013794,0.725845,bertscore_f1_free,0.691256,0.014472,0.691256,0.693415,148.3
47,2,2.33e-05,0.4659,8.692283,5.493538,1.066248,0.000000,0.013563,0.714203,bertscore_f1_free,0.690410,0.013453,0.690410,0.693415,146.9
48,2,2.30e-05,0.4732,8.633802,5.449629,1.061391,0.000000,0.013348,0.696680,bertscore_f1_free,0.696770,0.012237,0.696770,0.696770,144.0
49,2,2.27e-05,0.4804,8.534044,5.430843,1.034400,0.000000,0.013159,0.681115,bertscore_f1_free,0.695691,0.013984,0.695691,0.696770,147.2
50,2,2.23e-05,0.4877,8.513938,5.410712,1.034408,0.000000,0.012986,0.650210,bertscore_f1_free,0.696274,0.013631,0.696274,0.696770,146.1
51,2,2.19e-05,0.4949,8.473036,5.387285,1.028584,0.000000,0.012820,0.645701,bertscore_f1_free,0.694733,0.013930,0.694733,0.696770,145.2
52,2,2.15e-05,0.5022,8.412127,5.363575,1.016184,0.000000,0.012653,0.634901,bertscore_f1_free,0.695848,0.013413,0.695848,0.696770,142.0
