epoch,phase,lr,word_dropout,loss_total,loss_lm,loss_nce,loss_attn,loss_vocab,loss_disc,val_primary_key,val_primary,val_bleu4,val_bertscore_f1,best_metric,epoch_time_s
1,1,1.25e-05,0.0000,23.653527,12.992116,3.553804,0.000000,0.467325,0.000000,bertscore_f1_free,0.629430,0.000630,0.629430,0.629430,42.7
2,1,2.50e-05,0.0000,20.902181,10.515502,3.462226,0.000000,0.268904,0.000000,bertscore_f1_free,0.619021,0.000790,0.619021,0.629430,43.0
3,1,3.74e-05,0.0000,19.605671,9.461085,3.381529,0.000000,0.107194,0.000000,bertscore_f1_free,0.614807,0.000853,0.614807,0.629430,42.9
4,1,4.99e-05,0.0000,18.866923,9.018006,3.282972,0.000000,0.056218,0.000000,bertscore_f1_free,0.613087,0.000807,0.613087,0.629430,42.9
5,1,6.24e-05,0.0000,18.312418,8.800693,3.170575,0.000000,0.041166,0.000000,bertscore_f1_free,0.610235,0.000804,0.610235,0.629430,54.0
6,1,7.49e-05,0.0000,17.874495,8.688135,3.062120,0.000000,0.033911,0.000000,bertscore_f1_free,0.610103,0.000639,0.610103,0.629430,54.2
7,1,7.99e-05,0.0000,17.515611,8.602755,2.970952,0.000000,0.029176,0.000000,bertscore_f1_free,0.610062,0.001072,0.610062,0.629430,53.2
8,1,7.91e-05,0.0000,17.215789,8.533116,2.894225,0.000000,0.026027,0.000000,bertscore_f1_free,0.611329,0.000801,0.611329,0.629430,54.0
9,1,7.76e-05,0.0000,17.010545,8.484574,2.841990,0.000000,0.023859,0.000000,bertscore_f1_free,0.610689,0.001031,0.610689,0.629430,52.8
10,1,7.55e-05,0.0000,16.816851,8.440476,2.792125,0.000000,0.022174,0.000000,bertscore_f1_free,0.610664,0.000787,0.610664,0.629430,52.8
11,1,7.27e-05,0.0000,16.628731,8.400104,2.742876,0.000000,0.020734,0.000000,bertscore_f1_free,0.611273,0.000669,0.611273,0.629430,46.2
12,1,6.93e-05,0.0000,16.494061,8.362499,2.710520,0.000000,0.019594,0.000000,bertscore_f1_free,0.611320,0.000679,0.611320,0.629430,46.5
13,1,6.54e-05,0.0000,16.354693,8.329117,2.675192,0.000000,0.018723,0.000000,bertscore_f1_free,0.612018,0.000686,0.612018,0.629430,43.1
14,1,6.11e-05,0.0000,16.252221,8.299303,2.650973,0.000000,0.018084,0.000000,bertscore_f1_free,0.611855,0.000898,0.611855,0.629430,52.5
15,1,5.64e-05,0.0000,16.147025,8.260805,2.628740,0.000000,0.017572,0.000000,bertscore_f1_free,0.611122,0.001124,0.611122,0.629430,52.7
16,1,5.14e-05,0.0000,16.038685,8.241076,2.599203,0.000000,0.017212,0.000000,bertscore_f1_free,0.612847,0.000788,0.612847,0.629430,52.7
17,1,4.61e-05,0.0000,15.941985,8.219630,2.574119,0.000000,0.016851,0.000000,bertscore_f1_free,0.613069,0.000771,0.613069,0.629430,52.9
18,1,4.08e-05,0.0000,15.870228,8.189597,2.560210,0.000000,0.016572,0.000000,bertscore_f1_free,0.613474,0.001010,0.613474,0.629430,42.6
19,1,3.55e-05,0.0000,15.801306,8.169362,2.543981,0.000000,0.016398,0.000000,bertscore_f1_free,0.614884,0.001094,0.614884,0.629430,43.6
20,1,3.02e-05,0.0000,15.719593,8.143084,2.525503,0.000000,0.016287,0.000000,bertscore_f1_free,0.616217,0.001303,0.616217,0.629430,43.1
21,1,2.51e-05,0.0000,15.650983,8.120007,2.510325,0.000000,0.016255,0.000000,bertscore_f1_free,0.618880,0.001307,0.618880,0.629430,43.3
22,1,2.03e-05,0.0000,15.556514,8.088984,2.489177,0.000000,0.016300,0.000000,bertscore_f1_free,0.621300,0.001308,0.621300,0.629430,43.2
23,1,1.58e-05,0.0000,15.503368,8.055105,2.482754,0.000000,0.016385,0.000000,bertscore_f1_free,0.625287,0.001235,0.625287,0.629430,43.2
24,1,1.18e-05,0.0000,15.425635,8.023722,2.467304,0.000000,0.016559,0.000000,bertscore_f1_free,0.627000,0.001359,0.627000,0.629430,43.4
25,1,8.28e-06,0.0000,15.376455,7.993280,2.461058,0.000000,0.016724,0.000000,bertscore_f1_free,0.629312,0.001407,0.629312,0.629430,43.4
26,1,5.31e-06,0.0000,15.341454,7.962505,2.459650,0.000000,0.016885,0.000000,bertscore_f1_free,0.630246,0.002108,0.630246,0.630246,44.2
27,1,2.97e-06,0.0000,15.293537,7.940533,2.451001,0.000000,0.016991,0.000000,bertscore_f1_free,0.631232,0.002883,0.631232,0.631232,44.3
28,1,1.28e-06,0.0000,15.270737,7.932049,2.446229,0.000000,0.017041,0.000000,bertscore_f1_free,0.631369,0.002898,0.631369,0.631369,43.4
29,1,2.88e-07,0.0000,15.258930,7.926248,2.444227,0.000000,0.017051,0.000000,bertscore_f1_free,0.631479,0.002881,0.631479,0.631479,43.8
30,1,3.76e-09,0.0000,15.269621,7.925969,2.447884,0.000000,0.017051,0.000000,bertscore_f1_free,0.631457,0.002877,0.631457,0.631479,43.9
31,2,3.90e-06,0.3500,13.460241,8.028828,1.810471,0.000000,0.016969,1.002273,bertscore_f1_free,0.636795,0.001764,0.636795,0.636795,93.9
32,2,7.80e-06,0.3572,13.207937,7.801395,1.802181,0.000000,0.016580,1.037105,bertscore_f1_free,0.640448,0.002538,0.640448,0.640448,93.1
33,2,1.17e-05,0.3645,13.066105,7.612200,1.817968,0.000000,0.016091,1.084058,bertscore_f1_free,0.645281,0.002467,0.645281,0.645281,99.7
34,2,1.56e-05,0.3717,12.911345,7.462266,1.816360,0.000000,0.015566,1.129571,bertscore_f1_free,0.649250,0.002769,0.649250,0.649250,115.1
35,2,1.95e-05,0.3790,12.775211,7.342233,1.810993,0.000000,0.015036,1.157813,bertscore_f1_free,0.652352,0.002933,0.652352,0.652352,115.0
36,2,2.34e-05,0.3862,12.679676,7.230615,1.816354,0.000000,0.014526,1.191650,bertscore_f1_free,0.648101,0.003017,0.648101,0.652352,114.5
37,2,2.50e-05,0.3935,12.592412,7.129586,1.820942,0.000000,0.014027,1.204943,bertscore_f1_free,0.651706,0.003925,0.651706,0.652352,102.7
38,2,2.50e-05,0.4007,12.502381,7.034174,1.822736,0.000000,0.013609,1.227891,bertscore_f1_free,0.659471,0.003908,0.659471,0.659471,93.4
39,2,2.49e-05,0.4080,12.387533,6.950564,1.812323,0.000000,0.013247,1.236535,bertscore_f1_free,0.667860,0.004194,0.667860,0.667860,99.0
40,2,2.48e-05,0.4152,12.296484,6.869668,1.808939,0.000000,0.012922,1.271813,bertscore_f1_free,0.672253,0.003546,0.672253,0.672253,94.8
41,2,2.47e-05,0.4225,12.211978,6.795166,1.805604,0.000000,0.012637,1.275214,bertscore_f1_free,0.673049,0.005707,0.673049,0.673049,95.6
42,2,2.45e-05,0.4297,12.125265,6.726088,1.799725,0.000000,0.012377,1.295397,bertscore_f1_free,0.674306,0.004003,0.674306,0.674306,93.5
43,2,2.43e-05,0.4370,12.041403,6.659417,1.793995,0.000000,0.012150,1.319721,bertscore_f1_free,0.672695,0.005690,0.672695,0.674306,93.9
44,2,2.41e-05,0.4442,11.954809,6.598845,1.785321,0.000000,0.011943,1.348251,bertscore_f1_free,0.677214,0.004551,0.677214,0.677214,94.2
