epoch,phase,lr,word_dropout,loss_total,loss_lm,loss_nce,loss_attn,loss_vocab,loss_disc,val_primary_key,val_primary,val_bleu4,val_bertscore_f1,best_metric,epoch_time_s
1,1,1.25e-05,0.0000,22.753376,12.195212,3.519388,0.000000,0.404583,0.000000,bertscore_f1_free,0.620429,0.000796,0.620429,0.620429,54.8
2,1,2.50e-05,0.0000,20.144254,9.836954,3.435767,0.000000,0.106312,0.000000,bertscore_f1_free,0.609330,0.000908,0.609330,0.620429,55.3
3,1,3.74e-05,0.0000,18.663858,8.928217,3.245213,0.000000,0.035593,0.000000,bertscore_f1_free,0.610536,0.000853,0.610536,0.620429,56.1
4,1,4.99e-05,0.0000,17.274563,8.605807,2.889585,0.000000,0.023376,0.000000,bertscore_f1_free,0.610705,0.000803,0.610705,0.620429,55.7
5,1,6.24e-05,0.0000,16.535197,8.447593,2.695868,0.000000,0.016611,0.000000,bertscore_f1_free,0.612486,0.000765,0.612486,0.620429,56.1
6,1,7.49e-05,0.0000,16.173067,8.362174,2.603631,0.000000,0.013432,0.000000,bertscore_f1_free,0.613740,0.000949,0.613740,0.620429,55.7
7,1,7.99e-05,0.0000,15.828697,8.288798,2.513300,0.000000,0.011465,0.000000,bertscore_f1_free,0.616555,0.001057,0.616555,0.620429,55.8
8,1,7.91e-05,0.0000,15.547948,8.218615,2.443111,0.000000,0.010024,0.000000,bertscore_f1_free,0.616773,0.001256,0.616773,0.620429,55.4
9,1,7.76e-05,0.0000,15.276405,8.153099,2.374435,0.000000,0.009128,0.000000,bertscore_f1_free,0.618251,0.001348,0.618251,0.620429,55.3
10,1,7.55e-05,0.0000,15.050366,8.101218,2.316383,0.000000,0.008610,0.000000,bertscore_f1_free,0.619599,0.002021,0.619599,0.620429,55.0
11,1,7.27e-05,0.0000,14.816576,8.038665,2.259303,0.000000,0.008166,0.000000,bertscore_f1_free,0.619548,0.002138,0.619548,0.620429,54.8
12,1,6.93e-05,0.0000,14.637211,7.995520,2.213897,0.000000,0.007860,0.000000,bertscore_f1_free,0.622007,0.002569,0.622007,0.622007,56.0
13,1,6.54e-05,0.0000,14.468554,7.954050,2.171501,0.000000,0.007602,0.000000,bertscore_f1_free,0.622585,0.002899,0.622585,0.622585,55.2
14,1,6.11e-05,0.0000,14.312129,7.921748,2.130127,0.000000,0.007414,0.000000,bertscore_f1_free,0.622822,0.002981,0.622822,0.622822,55.3
15,1,5.64e-05,0.0000,14.176365,7.889556,2.095603,0.000000,0.007264,0.000000,bertscore_f1_free,0.621856,0.001807,0.621856,0.622822,56.1
16,1,5.14e-05,0.0000,14.020323,7.870046,2.050092,0.000000,0.007135,0.000000,bertscore_f1_free,0.622313,0.001824,0.622313,0.622822,55.3
17,1,4.61e-05,0.0000,13.889819,7.853861,2.011986,0.000000,0.007042,0.000000,bertscore_f1_free,0.621781,0.002295,0.621781,0.622822,55.6
18,1,4.08e-05,0.0000,13.782643,7.836964,1.981893,0.000000,0.006958,0.000000,bertscore_f1_free,0.622844,0.002073,0.622844,0.622844,55.7
19,1,3.55e-05,0.0000,13.637173,7.823234,1.937980,0.000000,0.006877,0.000000,bertscore_f1_free,0.623201,0.001891,0.623201,0.623201,55.1
20,1,3.02e-05,0.0000,13.550263,7.811596,1.912889,0.000000,0.006824,0.000000,bertscore_f1_free,0.624089,0.001998,0.624089,0.624089,55.5
21,1,2.51e-05,0.0000,13.457807,7.803744,1.884688,0.000000,0.006772,0.000000,bertscore_f1_free,0.623410,0.002008,0.623410,0.624089,56.0
22,1,2.03e-05,0.0000,13.373449,7.797631,1.858606,0.000000,0.006734,0.000000,bertscore_f1_free,0.623437,0.002356,0.623437,0.624089,55.5
23,1,1.58e-05,0.0000,13.310352,7.789044,1.840436,0.000000,0.006700,0.000000,bertscore_f1_free,0.623661,0.002408,0.623661,0.624089,55.5
24,1,1.18e-05,0.0000,13.260178,7.785387,1.824930,0.000000,0.006674,0.000000,bertscore_f1_free,0.623523,0.002445,0.623523,0.624089,55.7
25,1,8.28e-06,0.0000,13.223286,7.783847,1.813146,0.000000,0.006653,0.000000,bertscore_f1_free,0.623583,0.002108,0.623583,0.624089,55.8
26,1,5.31e-06,0.0000,13.176413,7.779998,1.798805,0.000000,0.006640,0.000000,bertscore_f1_free,0.623859,0.002102,0.623859,0.624089,55.2
27,1,2.97e-06,0.0000,13.149873,7.776412,1.791154,0.000000,0.006629,0.000000,bertscore_f1_free,0.623626,0.002072,0.623626,0.624089,55.1
28,1,1.28e-06,0.0000,13.114137,7.773035,1.780367,0.000000,0.006623,0.000000,bertscore_f1_free,0.623755,0.002087,0.623755,0.624089,55.6
29,1,2.88e-07,0.0000,13.118740,7.774379,1.781453,0.000000,0.006621,0.000000,bertscore_f1_free,0.623765,0.002083,0.623765,0.624089,55.2
30,1,3.76e-09,0.0000,13.106626,7.775217,1.777136,0.000000,0.006620,0.000000,bertscore_f1_free,0.623793,0.002089,0.623793,0.624089,55.1
31,2,3.90e-06,0.3500,11.435348,7.769602,1.221915,0.000000,0.006612,0.497050,bertscore_f1_free,0.629400,0.002499,0.629400,0.629400,125.5
32,2,7.80e-06,0.3572,11.369696,7.696419,1.224426,0.000000,0.006575,0.481646,bertscore_f1_free,0.630614,0.002564,0.630614,0.630614,148.0
33,2,1.17e-05,0.3645,11.307979,7.633531,1.224816,0.000000,0.006514,0.453048,bertscore_f1_free,0.630442,0.002575,0.630442,0.630614,141.1
34,2,1.56e-05,0.3717,11.265404,7.590684,1.224907,0.000000,0.006444,0.422804,bertscore_f1_free,0.631460,0.002408,0.631460,0.631460,138.9
35,2,1.95e-05,0.3790,11.193343,7.529584,1.221253,0.000000,0.006372,0.372166,bertscore_f1_free,0.634541,0.002212,0.634541,0.634541,138.6
36,2,2.34e-05,0.3862,11.137755,7.450035,1.229240,0.000000,0.006297,0.341568,bertscore_f1_free,0.640509,0.001997,0.640509,0.640509,146.9
37,2,2.50e-05,0.3935,11.028624,7.384863,1.214587,0.000000,0.006226,0.324956,bertscore_f1_free,0.636144,0.001024,0.636144,0.640509,146.2
38,2,2.50e-05,0.4007,10.900967,7.291501,1.203155,0.000000,0.006160,0.359026,bertscore_f1_free,0.658888,0.001632,0.658888,0.658888,151.8
39,2,2.49e-05,0.4080,10.758325,7.151752,1.202191,0.000000,0.006092,0.392222,bertscore_f1_free,0.668029,0.001225,0.668029,0.668029,151.6
40,2,2.48e-05,0.4152,10.568573,6.977566,1.197003,0.000000,0.006030,0.478801,bertscore_f1_free,0.675264,0.006448,0.675264,0.675264,146.0
41,2,2.47e-05,0.4225,10.370290,6.800649,1.189880,0.000000,0.005981,0.522405,bertscore_f1_free,0.678213,0.008054,0.678213,0.678213,149.9
42,2,2.45e-05,0.4297,10.221864,6.662918,1.186316,0.000000,0.005944,0.558270,bertscore_f1_free,0.678326,0.007256,0.678326,0.678326,157.0
43,2,2.43e-05,0.4370,10.102400,6.559382,1.181006,0.000000,0.005915,0.592150,bertscore_f1_free,0.677649,0.011531,0.677649,0.678326,155.3
