epoch,phase,lr,word_dropout,loss_total,loss_lm,loss_nce,loss_attn,loss_vocab,loss_disc,val_primary_key,val_primary,val_bleu4,val_bertscore_f1,best_metric,epoch_time_s
1,1,1.25e-05,0.0000,11.720835,11.720835,0.000000,0.000000,0.502357,0.000000,bertscore_f1_free,0.618087,0.000732,0.618087,0.618087,63.5
2,1,2.50e-05,0.0000,9.320489,9.320489,0.000000,0.000000,0.142994,0.000000,bertscore_f1_free,0.610019,0.000783,0.610019,0.618087,63.9
3,1,3.74e-05,0.0000,8.407963,8.407963,0.000000,0.000000,0.031490,0.000000,bertscore_f1_free,0.612186,0.000852,0.612186,0.618087,59.2
4,1,4.99e-05,0.0000,8.034672,8.034672,0.000000,0.000000,0.017940,0.000000,bertscore_f1_free,0.620484,0.001650,0.620484,0.620484,59.7
5,1,6.24e-05,0.0000,6.401562,6.401562,0.000000,0.000000,0.037314,0.000000,bertscore_f1_free,0.667085,0.001783,0.667085,0.667085,58.0
6,1,7.49e-05,0.0000,5.370351,5.370351,0.000000,0.000000,0.032774,0.000000,bertscore_f1_free,0.666230,0.002902,0.666230,0.667085,61.3
7,1,7.99e-05,0.0000,5.316572,5.316572,0.000000,0.000000,0.026915,0.000000,bertscore_f1_free,0.669246,0.003587,0.669246,0.669246,58.5
8,1,7.91e-05,0.0000,5.273426,5.273426,0.000000,0.000000,0.023681,0.000000,bertscore_f1_free,0.674168,0.007423,0.674168,0.674168,61.5
9,1,7.76e-05,0.0000,5.250402,5.250402,0.000000,0.000000,0.021484,0.000000,bertscore_f1_free,0.671454,0.005539,0.671454,0.674168,60.1
10,1,7.55e-05,0.0000,5.234183,5.234183,0.000000,0.000000,0.020068,0.000000,bertscore_f1_free,0.671118,0.006205,0.671118,0.674168,59.6
11,1,7.27e-05,0.0000,5.209346,5.209346,0.000000,0.000000,0.018925,0.000000,bertscore_f1_free,0.666004,0.007166,0.666004,0.674168,60.6
12,1,6.93e-05,0.0000,5.181922,5.181922,0.000000,0.000000,0.017991,0.000000,bertscore_f1_free,0.657504,0.006982,0.657504,0.674168,59.0
13,1,6.54e-05,0.0000,5.133945,5.133945,0.000000,0.000000,0.017154,0.000000,bertscore_f1_free,0.654871,0.007377,0.654871,0.674168,58.5
14,1,6.11e-05,0.0000,5.093404,5.093404,0.000000,0.000000,0.016119,0.000000,bertscore_f1_free,0.657428,0.007374,0.657428,0.674168,53.2
15,1,5.64e-05,0.0000,5.069085,5.069085,0.000000,0.000000,0.015112,0.000000,bertscore_f1_free,0.660967,0.008090,0.660967,0.674168,60.8
16,1,5.14e-05,0.0000,5.045408,5.045408,0.000000,0.000000,0.014221,0.000000,bertscore_f1_free,0.662855,0.004888,0.662855,0.674168,60.8
17,1,4.61e-05,0.0000,5.034077,5.034077,0.000000,0.000000,0.013493,0.000000,bertscore_f1_free,0.661459,0.005857,0.661459,0.674168,65.3
18,1,4.08e-05,0.0000,5.018564,5.018564,0.000000,0.000000,0.012983,0.000000,bertscore_f1_free,0.663525,0.005124,0.663525,0.674168,64.2
19,1,3.55e-05,0.0000,5.010065,5.010065,0.000000,0.000000,0.012481,0.000000,bertscore_f1_free,0.664536,0.006190,0.664536,0.674168,62.1
20,1,3.02e-05,0.0000,4.994954,4.994954,0.000000,0.000000,0.012189,0.000000,bertscore_f1_free,0.664231,0.005889,0.664231,0.674168,63.1
21,1,2.51e-05,0.0000,4.984393,4.984393,0.000000,0.000000,0.011948,0.000000,bertscore_f1_free,0.664608,0.005287,0.664608,0.674168,61.3
22,1,2.03e-05,0.0000,4.981561,4.981561,0.000000,0.000000,0.011713,0.000000,bertscore_f1_free,0.665716,0.006648,0.665716,0.674168,59.0
23,1,1.58e-05,0.0000,4.969813,4.969813,0.000000,0.000000,0.011604,0.000000,bertscore_f1_free,0.665235,0.006505,0.665235,0.674168,62.1
24,1,1.18e-05,0.0000,4.963426,4.963426,0.000000,0.000000,0.011520,0.000000,bertscore_f1_free,0.665692,0.007205,0.665692,0.674168,59.9
25,1,8.28e-06,0.0000,4.963904,4.963904,0.000000,0.000000,0.011387,0.000000,bertscore_f1_free,0.666792,0.007229,0.666792,0.674168,58.2
26,1,5.31e-06,0.0000,4.959342,4.959342,0.000000,0.000000,0.011333,0.000000,bertscore_f1_free,0.667112,0.007266,0.667112,0.674168,61.2
27,1,2.97e-06,0.0000,4.954270,4.954270,0.000000,0.000000,0.011321,0.000000,bertscore_f1_free,0.667087,0.007497,0.667087,0.674168,60.9
28,1,1.28e-06,0.0000,4.952487,4.952487,0.000000,0.000000,0.011278,0.000000,bertscore_f1_free,0.666958,0.007475,0.666958,0.674168,59.8
29,1,2.88e-07,0.0000,4.950128,4.950128,0.000000,0.000000,0.011275,0.000000,bertscore_f1_free,0.667027,0.008096,0.667027,0.674168,61.5
