epoch,phase,lr,word_dropout,loss_total,loss_lm,loss_nce,loss_attn,loss_vocab,loss_disc,val_primary_key,val_primary,val_bleu4,val_bertscore_f1,best_metric,epoch_time_s
1,1,1.25e-05,0.0000,22.262148,11.715834,3.515438,0.000000,0.501063,0.000000,bertscore_f1_free,0.616818,0.000824,0.616818,0.616818,54.9
2,1,2.50e-05,0.0000,19.593396,9.326145,3.422417,0.000000,0.143388,0.000000,bertscore_f1_free,0.609374,0.000730,0.609374,0.616818,56.3
3,1,3.74e-05,0.0000,17.996360,8.575500,3.140287,0.000000,0.038464,0.000000,bertscore_f1_free,0.610739,0.000742,0.610739,0.616818,55.0
4,1,4.99e-05,0.0000,16.802521,8.371281,2.810413,0.000000,0.028469,0.000000,bertscore_f1_free,0.611525,0.000765,0.611525,0.616818,55.3
5,1,6.24e-05,0.0000,16.209244,8.236515,2.657576,0.000000,0.022509,0.000000,bertscore_f1_free,0.613240,0.001076,0.613240,0.616818,55.3
6,1,7.49e-05,0.0000,15.859978,8.133777,2.575400,0.000000,0.018961,0.000000,bertscore_f1_free,0.614278,0.001149,0.614278,0.616818,55.1
7,1,7.99e-05,0.0000,15.503155,8.022282,2.493624,0.000000,0.016956,0.000000,bertscore_f1_free,0.617276,0.001654,0.617276,0.617276,55.8
8,1,7.91e-05,0.0000,15.110921,7.830952,2.426656,0.000000,0.016882,0.000000,bertscore_f1_free,0.642766,0.003226,0.642766,0.642766,55.9
9,1,7.76e-05,0.0000,13.393299,6.265600,2.375900,0.000000,0.042509,0.000000,bertscore_f1_free,0.671530,0.004501,0.671530,0.671530,55.6
10,1,7.55e-05,0.0000,12.396070,5.444401,2.317223,0.000000,0.040623,0.000000,bertscore_f1_free,0.673837,0.005064,0.673837,0.673837,63.1
11,1,7.27e-05,0.0000,12.166620,5.379101,2.262506,0.000000,0.034750,0.000000,bertscore_f1_free,0.676962,0.005155,0.676962,0.676962,55.4
12,1,6.93e-05,0.0000,11.975014,5.336083,2.212977,0.000000,0.031779,0.000000,bertscore_f1_free,0.677202,0.005147,0.677202,0.677202,55.4
13,1,6.54e-05,0.0000,11.806576,5.307644,2.166311,0.000000,0.029582,0.000000,bertscore_f1_free,0.677077,0.005220,0.677077,0.677202,55.0
14,1,6.11e-05,0.0000,11.643094,5.287325,2.118590,0.000000,0.028142,0.000000,bertscore_f1_free,0.678184,0.005376,0.678184,0.678184,55.6
