epoch,phase,lr,word_dropout,loss_total,loss_lm,loss_nce,loss_attn,loss_vocab,loss_disc,val_primary_key,val_primary,val_bleu4,val_bertscore_f1,best_metric,epoch_time_s
1,1,1.25e-05,0.0000,22.267609,11.720256,3.515784,0.000000,0.587004,0.000000,bertscore_f1_free,0.618848,0.000825,0.618848,0.618848,54.9
2,1,2.50e-05,0.0000,19.674409,9.392547,3.427287,0.000000,0.574310,0.000000,bertscore_f1_free,0.610462,0.001018,0.610462,0.618848,56.0
3,1,3.74e-05,0.0000,18.101988,8.607044,3.164981,0.000000,0.560939,0.000000,bertscore_f1_free,0.611262,0.000738,0.611262,0.618848,55.4
4,1,4.99e-05,0.0000,16.828540,8.377847,2.816898,0.000000,0.548626,0.000000,bertscore_f1_free,0.611257,0.000768,0.611257,0.618848,54.9
5,1,6.24e-05,0.0000,16.209165,8.236547,2.657539,0.000000,0.545294,0.000000,bertscore_f1_free,0.613131,0.000880,0.613131,0.618848,55.4
6,1,7.49e-05,0.0000,15.853436,8.128545,2.574964,0.000000,0.556441,0.000000,bertscore_f1_free,0.614603,0.001159,0.614603,0.618848,55.4
7,1,7.99e-05,0.0000,15.482604,8.013192,2.489804,0.000000,0.576119,0.000000,bertscore_f1_free,0.616997,0.001572,0.616997,0.618848,56.0
8,1,7.91e-05,0.0000,15.025398,7.750845,2.424851,0.000000,0.626173,0.000000,bertscore_f1_free,0.662262,0.005246,0.662262,0.662262,55.4
9,1,7.76e-05,0.0000,13.024948,5.887438,2.379170,0.000000,0.680955,0.000000,bertscore_f1_free,0.672392,0.004113,0.672392,0.672392,55.1
10,1,7.55e-05,0.0000,12.351545,5.400319,2.317075,0.000000,0.679887,0.000000,bertscore_f1_free,0.673658,0.005515,0.673658,0.673658,55.7
11,1,7.27e-05,0.0000,12.136734,5.345789,2.263648,0.000000,0.679038,0.000000,bertscore_f1_free,0.676779,0.005048,0.676779,0.676779,55.5
12,1,6.93e-05,0.0000,11.955690,5.323044,2.210882,0.000000,0.678389,0.000000,bertscore_f1_free,0.678046,0.005487,0.678046,0.678046,55.7
13,1,6.54e-05,0.0000,11.792728,5.295813,2.165638,0.000000,0.678195,0.000000,bertscore_f1_free,0.678034,0.005168,0.678034,0.678046,55.3
14,1,6.11e-05,0.0000,11.633443,5.277233,2.118737,0.000000,0.677986,0.000000,bertscore_f1_free,0.678766,0.005377,0.678766,0.678766,56.0
15,1,5.64e-05,0.0000,11.496627,5.269168,2.075820,0.000000,0.677581,0.000000,bertscore_f1_free,0.676737,0.005323,0.676737,0.678766,55.4
16,1,5.14e-05,0.0000,11.352493,5.261837,2.030219,0.000000,0.677662,0.000000,bertscore_f1_free,0.677851,0.006115,0.677851,0.678766,55.3
17,1,4.61e-05,0.0000,11.207037,5.252841,1.984732,0.000000,0.677277,0.000000,bertscore_f1_free,0.679292,0.005713,0.679292,0.679292,56.4
18,1,4.08e-05,0.0000,11.102153,5.247579,1.951525,0.000000,0.677564,0.000000,bertscore_f1_free,0.678938,0.004724,0.678938,0.679292,55.5
19,1,3.55e-05,0.0000,10.945614,5.241631,1.901328,0.000000,0.676517,0.000000,bertscore_f1_free,0.677967,0.004587,0.677967,0.679292,55.4
20,1,3.02e-05,0.0000,10.838882,5.228065,1.870272,0.000000,0.676888,0.000000,bertscore_f1_free,0.679867,0.005788,0.679867,0.679867,55.7
21,1,2.51e-05,0.0000,10.755702,5.225930,1.843257,0.000000,0.676873,0.000000,bertscore_f1_free,0.680938,0.005611,0.680938,0.680938,55.2
22,1,2.03e-05,0.0000,10.666088,5.226255,1.813277,0.000000,0.676767,0.000000,bertscore_f1_free,0.678491,0.004990,0.678491,0.680938,54.9
23,1,1.58e-05,0.0000,10.600751,5.216489,1.794754,0.000000,0.676837,0.000000,bertscore_f1_free,0.678905,0.006802,0.678905,0.680938,55.1
24,1,1.18e-05,0.0000,10.548814,5.215522,1.777764,0.000000,0.676784,0.000000,bertscore_f1_free,0.678815,0.006465,0.678815,0.680938,55.8
25,1,8.28e-06,0.0000,10.518965,5.220086,1.766293,0.000000,0.676517,0.000000,bertscore_f1_free,0.678686,0.006343,0.678686,0.680938,55.6
26,1,5.31e-06,0.0000,10.467187,5.214679,1.750836,0.000000,0.676478,0.000000,bertscore_f1_free,0.678888,0.006347,0.678888,0.680938,55.7
27,1,2.97e-06,0.0000,10.435884,5.213136,1.740916,0.000000,0.676426,0.000000,bertscore_f1_free,0.678946,0.006058,0.678946,0.680938,55.5
28,1,1.28e-06,0.0000,10.415298,5.210834,1.734821,0.000000,0.676437,0.000000,bertscore_f1_free,0.678814,0.006201,0.678814,0.680938,55.2
29,1,2.88e-07,0.0000,10.406626,5.208103,1.732841,0.000000,0.676387,0.000000,bertscore_f1_free,0.679052,0.006152,0.679052,0.680938,54.9
30,1,3.76e-09,0.0000,10.394940,5.214566,1.726791,0.000000,0.676371,0.000000,bertscore_f1_free,0.679000,0.006177,0.679000,0.680938,55.6
31,2,3.90e-06,0.3500,10.643773,7.103951,1.179941,0.000000,0.676016,1.339218,bertscore_f1_free,0.678808,0.003156,0.678808,0.680938,125.3
32,2,7.80e-06,0.3572,10.271815,6.715054,1.185587,0.000000,0.675586,1.221536,bertscore_f1_free,0.662840,0.002954,0.662840,0.680938,123.3
33,2,1.17e-05,0.3645,10.105874,6.557283,1.182864,0.000000,0.675759,1.152493,bertscore_f1_free,0.661442,0.003025,0.661442,0.680938,124.0
34,2,1.56e-05,0.3717,9.981454,6.439748,1.180569,0.000000,0.676114,1.100085,bertscore_f1_free,0.668879,0.004087,0.668879,0.680938,126.5
35,2,1.95e-05,0.3790,9.843629,6.315617,1.176004,0.000000,0.676525,1.035978,bertscore_f1_free,0.671849,0.006753,0.671849,0.680938,125.5
36,2,2.34e-05,0.3862,9.763148,6.215828,1.182440,0.000000,0.677133,0.992493,bertscore_f1_free,0.677743,0.009952,0.677743,0.680938,125.0
37,2,2.50e-05,0.3935,9.611236,6.106814,1.168141,0.000000,0.677584,0.964227,bertscore_f1_free,0.680494,0.013213,0.680494,0.680938,126.3
38,2,2.50e-05,0.4007,9.483184,6.023479,1.153235,0.000000,0.678213,0.956217,bertscore_f1_free,0.678848,0.013205,0.678848,0.680938,125.5
39,2,2.49e-05,0.4080,9.375661,5.927740,1.149307,0.000000,0.678502,0.887649,bertscore_f1_free,0.690372,0.013602,0.690372,0.690372,125.3
40,2,2.48e-05,0.4152,9.267895,5.853077,1.138272,0.000000,0.678859,0.874665,bertscore_f1_free,0.686580,0.013271,0.686580,0.690372,125.2
41,2,2.47e-05,0.4225,9.154310,5.784312,1.123332,0.000000,0.679253,0.846330,bertscore_f1_free,0.691947,0.013596,0.691947,0.691947,125.8
42,2,2.45e-05,0.4297,9.063556,5.720407,1.114383,0.000000,0.679506,0.813164,bertscore_f1_free,0.692925,0.013719,0.692925,0.692925,125.4
43,2,2.43e-05,0.4370,8.979246,5.664422,1.104941,0.000000,0.679660,0.802900,bertscore_f1_free,0.689883,0.012296,0.689883,0.692925,124.7
44,2,2.41e-05,0.4442,8.886611,5.613042,1.091190,0.000000,0.679825,0.775723,bertscore_f1_free,0.692068,0.012878,0.692068,0.692925,125.8
