epoch,phase,lr,word_dropout,loss_total,loss_lm,loss_nce,loss_attn,loss_vocab,loss_disc,val_primary_key,val_primary,val_bleu4,val_bertscore_f1,best_metric,epoch_time_s
1,1,1.25e-05,0.0000,21.277899,10.773087,3.501604,0.000000,0.291424,0.000000,bertscore_f1_free,0.611806,0.000398,0.611806,0.611806,46.3
2,1,2.50e-05,0.0000,17.628952,8.364038,3.088305,0.000000,0.054733,0.000000,bertscore_f1_free,0.614144,0.001015,0.614144,0.614144,47.1
3,1,3.74e-05,0.0000,16.813791,8.132335,2.893819,0.000000,0.036668,0.000000,bertscore_f1_free,0.616882,0.001507,0.616882,0.616882,46.7
4,1,4.99e-05,0.0000,16.353047,8.029045,2.774667,0.000000,0.030556,0.000000,bertscore_f1_free,0.618838,0.002022,0.618838,0.618838,46.3
5,1,6.24e-05,0.0000,15.976144,7.928668,2.682492,0.000000,0.026692,0.000000,bertscore_f1_free,0.621405,0.001928,0.621405,0.621405,46.4
6,1,7.49e-05,0.0000,15.722870,7.818803,2.634689,0.000000,0.024149,0.000000,bertscore_f1_free,0.628482,0.002788,0.628482,0.628482,46.9
7,1,7.99e-05,0.0000,14.601618,6.867229,2.578130,0.000000,0.037953,0.000000,bertscore_f1_free,0.670383,0.005381,0.670383,0.670383,47.1
8,1,7.91e-05,0.0000,13.039154,5.499285,2.513289,0.000000,0.053426,0.000000,bertscore_f1_free,0.672089,0.002375,0.672089,0.672089,46.5
9,1,7.76e-05,0.0000,12.736421,5.367527,2.456298,0.000000,0.043710,0.000000,bertscore_f1_free,0.675813,0.003716,0.675813,0.675813,46.8
10,1,7.55e-05,0.0000,12.531526,5.309999,2.407176,0.000000,0.040238,0.000000,bertscore_f1_free,0.678655,0.004079,0.678655,0.678655,46.9
11,1,7.27e-05,0.0000,12.444292,5.370500,2.357930,0.000000,0.037141,0.000000,bertscore_f1_free,0.678656,0.004264,0.678656,0.678656,45.5
12,1,6.93e-05,0.0000,12.222017,5.250946,2.323690,0.000000,0.035318,0.000000,bertscore_f1_free,0.678360,0.003818,0.678360,0.678656,45.7
13,1,6.54e-05,0.0000,12.075544,5.236362,2.279727,0.000000,0.033543,0.000000,bertscore_f1_free,0.679119,0.005180,0.679119,0.679119,46.3
14,1,6.11e-05,0.0000,11.947142,5.232461,2.238227,0.000000,0.032092,0.000000,bertscore_f1_free,0.682852,0.005381,0.682852,0.682852,45.8
