epoch,phase,lr,word_dropout,loss_total,loss_lm,loss_nce,loss_attn,loss_vocab,loss_disc,val_primary_key,val_primary,val_bleu4,val_bertscore_f1,best_metric,epoch_time_s
1,1,1.25e-05,0.0000,22.211231,11.657794,3.517813,0.000000,0.500124,0.000000,bertscore_f1_free,0.615078,0.000780,0.615078,0.615078,55.8
2,1,2.50e-05,0.0000,19.573575,9.299329,3.424749,0.000000,0.141351,0.000000,bertscore_f1_free,0.609852,0.000721,0.609852,0.615078,55.8
3,1,3.74e-05,0.0000,18.046819,8.578491,3.156109,0.000000,0.039300,0.000000,bertscore_f1_free,0.609921,0.000566,0.609921,0.615078,57.9
4,1,4.99e-05,0.0000,16.848468,8.375433,2.824345,0.000000,0.029033,0.000000,bertscore_f1_free,0.610519,0.000776,0.610519,0.615078,56.7
5,1,6.24e-05,0.0000,16.216829,8.234826,2.660668,0.000000,0.022836,0.000000,bertscore_f1_free,0.612885,0.000941,0.612885,0.615078,57.4
6,1,7.49e-05,0.0000,15.843322,8.129478,2.571281,0.000000,0.019180,0.000000,bertscore_f1_free,0.616364,0.001171,0.616364,0.616364,66.3
7,1,7.99e-05,0.0000,15.473732,8.008528,2.488401,0.000000,0.017061,0.000000,bertscore_f1_free,0.617054,0.001509,0.617054,0.617054,66.1
8,1,7.91e-05,0.0000,15.044541,7.800269,2.414757,0.000000,0.017285,0.000000,bertscore_f1_free,0.651937,0.004026,0.651937,0.651937,68.3
9,1,7.76e-05,0.0000,13.205010,6.056480,2.382843,0.000000,0.046759,0.000000,bertscore_f1_free,0.671949,0.004068,0.671949,0.671949,67.1
10,1,7.55e-05,0.0000,12.420845,5.455142,2.321901,0.000000,0.040771,0.000000,bertscore_f1_free,0.672258,0.003676,0.672258,0.672258,69.1
11,1,7.27e-05,0.0000,12.174831,5.366279,2.269517,0.000000,0.035069,0.000000,bertscore_f1_free,0.673337,0.004392,0.673337,0.673337,69.0
12,1,6.93e-05,0.0000,11.968848,5.328955,2.213297,0.000000,0.031788,0.000000,bertscore_f1_free,0.675471,0.004501,0.675471,0.675471,68.1
13,1,6.54e-05,0.0000,11.831684,5.315253,2.172144,0.000000,0.029811,0.000000,bertscore_f1_free,0.678038,0.005275,0.678038,0.678038,71.4
