epoch,phase,lr,word_dropout,loss_total,loss_lm,loss_nce,loss_attn,loss_vocab,loss_disc,val_bertscore_f1,best_metric,epoch_time_s,validation_time_s,epoch_wall_time_s
1,1,1.17e-05,0.0000,26.468524,12.060211,4.802771,0.000000,0.486204,0.000000,0.090083,0.090083,24.3,14.7,39.0
2,1,2.40e-05,0.0000,22.998018,9.218927,4.593030,0.000000,0.140642,0.000000,0.117891,0.117891,24.3,12.5,36.8
3,1,3.63e-05,0.0000,21.202664,8.634810,4.189285,0.000000,0.046700,0.000000,0.122390,0.122390,23.1,13.1,36.3
4,1,4.86e-05,0.0000,20.018233,8.480023,3.846070,0.000000,0.036290,0.000000,0.124416,0.124416,23.1,12.7,35.8
5,1,6.10e-05,0.0000,18.946513,8.390637,3.518625,0.000000,0.030744,0.000000,0.127853,0.127853,23.2,12.6,35.9
6,1,7.33e-05,0.0000,17.922547,8.323971,3.199526,0.000000,0.026746,0.000000,0.130542,0.130542,23.1,12.5,35.6
7,1,7.99e-05,0.0000,16.915768,8.261101,2.884889,0.000000,0.023642,0.000000,0.138542,0.138542,23.2,12.4,35.5
8,1,7.92e-05,0.0000,15.770540,8.207417,2.521041,0.000000,0.021279,0.000000,0.138185,0.138542,23.1,12.4,35.5
9,1,7.79e-05,0.0000,14.725980,8.165918,2.186687,0.000000,0.019661,0.000000,0.135962,0.138542,23.2,12.5,35.7
10,1,7.58e-05,0.0000,13.848705,8.131402,1.905768,0.000000,0.018411,0.000000,0.140569,0.140569,23.0,12.7,35.7
11,1,7.31e-05,0.0000,13.112954,8.085486,1.675823,0.000000,0.017465,0.000000,0.143736,0.143736,23.0,12.4,35.5
12,1,6.98e-05,0.0000,12.432523,8.032272,1.466750,0.000000,0.016696,0.000000,0.148078,0.148078,23.0,12.5,35.6
13,1,6.60e-05,0.0000,11.868969,7.978259,1.296903,0.000000,0.016193,0.000000,0.153311,0.153311,23.0,12.9,35.9
14,1,6.17e-05,0.0000,11.369709,7.924242,1.148489,0.000000,0.015899,0.000000,0.148414,0.153311,22.9,12.4,35.4
15,1,5.71e-05,0.0000,10.981674,7.856985,1.041563,0.000000,0.015904,0.000000,0.163308,0.163308,23.0,12.6,35.7
16,1,5.21e-05,0.0000,10.433305,7.632264,0.933680,0.000000,0.017257,0.000000,0.177428,0.177428,23.2,13.0,36.1
17,1,4.69e-05,0.0000,9.024175,6.430394,0.864594,0.000000,0.030601,0.000000,0.154212,0.177428,23.0,12.8,35.8
18,1,4.16e-05,0.0000,8.144272,5.740766,0.801169,0.000000,0.036531,0.000000,0.155100,0.177428,23.0,12.7,35.7
19,1,3.63e-05,0.0000,7.785938,5.582185,0.734584,0.000000,0.033956,0.000000,0.155567,0.177428,23.1,12.8,35.9
20,1,3.10e-05,0.0000,7.527092,5.516739,0.670118,0.000000,0.032318,0.000000,0.157322,0.177428,22.8,13.4,36.2
21,1,2.59e-05,0.0000,7.320300,5.472248,0.616017,0.000000,0.030823,0.000000,0.161296,0.177428,23.1,12.8,36.0
22,1,2.10e-05,0.0000,7.190729,5.458061,0.577556,0.000000,0.029766,0.000000,0.161935,0.177428,22.9,12.8,35.7
23,1,1.65e-05,0.0000,7.066000,5.431562,0.544813,0.000000,0.028953,0.000000,0.162947,0.177428,23.1,14.0,37.2
24,1,1.24e-05,0.0000,6.968282,5.414835,0.517816,0.000000,0.028526,0.000000,0.161420,0.177428,23.1,13.1,36.2
25,1,8.78e-06,0.0000,6.893467,5.416934,0.492178,0.000000,0.028095,0.000000,0.163490,0.177428,22.9,13.0,35.9
26,1,5.72e-06,0.0000,6.800949,5.403015,0.465978,0.000000,0.027914,0.000000,0.161909,0.177428,23.0,13.7,36.7
27,1,3.28e-06,0.0000,6.754461,5.393483,0.453660,0.000000,0.027816,0.000000,0.162426,0.177428,23.0,12.8,35.8
28,1,1.49e-06,0.0000,6.729457,5.392082,0.445792,0.000000,0.027651,0.000000,0.163085,0.177428,23.0,13.1,36.1
29,1,3.95e-07,0.0000,6.720255,5.394336,0.441973,0.000000,0.027577,0.000000,0.162485,0.177428,23.0,12.7,35.7
30,1,9.64e-10,0.0000,6.718141,5.395133,0.441002,0.000000,0.027568,0.000000,0.162494,0.177428,22.9,12.9,35.8
31,2,3.90e-06,0.3500,7.888006,6.907494,0.255491,1.426926,0.027020,1.698385,0.203967,0.203967,39.2,12.6,51.8
32,2,7.80e-06,0.3572,7.573342,6.593352,0.263197,1.269331,0.025377,1.693944,0.181722,0.203967,39.1,12.6,51.7
33,2,1.17e-05,0.3645,7.357024,6.406260,0.263113,1.076159,0.023997,1.747423,0.149893,0.203967,38.7,12.4,51.1
34,2,1.56e-05,0.3717,7.198243,6.251379,0.268290,0.946634,0.022864,1.787154,0.149947,0.203967,39.0,12.0,51.1
35,2,1.95e-05,0.3790,7.052249,6.116865,0.268142,0.873058,0.021806,1.818794,0.155008,0.203967,39.3,11.3,50.6
36,2,2.34e-05,0.3862,6.905718,5.990645,0.264704,0.806402,0.020792,1.859678,0.157618,0.203967,39.1,11.9,51.0
37,2,2.50e-05,0.3935,6.800176,5.875321,0.270547,0.754754,0.019870,1.893196,0.172521,0.203967,38.9,12.2,51.1
38,2,2.50e-05,0.4007,6.660181,5.769439,0.260624,0.725813,0.019203,1.937762,0.185692,0.203967,39.4,12.2,51.6
39,2,2.49e-05,0.4080,6.515113,5.673618,0.246318,0.683611,0.018592,1.986700,0.192623,0.203967,39.3,12.9,52.2
40,2,2.48e-05,0.4152,6.422062,5.590957,0.244849,0.643731,0.018005,2.032335,0.188023,0.203967,39.3,12.2,51.4
41,2,2.47e-05,0.4225,6.304784,5.513103,0.232135,0.635169,0.017621,2.063776,0.198121,0.203967,39.1,12.1,51.2
42,2,2.45e-05,0.4297,6.188703,5.434881,0.219695,0.631583,0.017183,2.098331,0.194454,0.203967,39.4,12.0,51.4
43,2,2.43e-05,0.4370,6.110117,5.372705,0.215721,0.601655,0.016797,2.141348,0.200057,0.203967,39.2,12.1,51.3
44,2,2.41e-05,0.4442,6.031576,5.320031,0.207315,0.597331,0.016405,2.189601,0.204673,0.204673,39.2,12.2,51.4
45,2,2.39e-05,0.4514,5.967448,5.263522,0.205022,0.592410,0.016103,2.212455,0.201115,0.204673,39.4,12.3,51.7
46,2,2.36e-05,0.4587,5.874826,5.210870,0.192908,0.568207,0.015771,2.245280,0.199985,0.204673,39.5,12.0,51.4
47,2,2.33e-05,0.4659,5.808931,5.162908,0.186969,0.567429,0.015443,2.268882,0.206875,0.206875,39.5,12.8,52.3
48,2,2.30e-05,0.4732,5.758219,5.130515,0.181447,0.555750,0.015209,2.306374,0.208300,0.208300,39.6,12.3,51.9
49,2,2.26e-05,0.4804,5.705440,5.084307,0.179504,0.550819,0.014926,2.315633,0.202223,0.208300,38.8,12.0,50.8
50,2,2.22e-05,0.4877,5.637752,5.045816,0.170241,0.541414,0.014709,2.333340,0.199211,0.208300,38.8,12.3,51.1
51,2,2.18e-05,0.4949,5.587594,5.013731,0.164265,0.540464,0.014464,2.348216,0.199545,0.208300,39.1,12.5,51.6
52,2,2.14e-05,0.5022,5.552239,4.983858,0.163138,0.526451,0.014263,2.374412,0.196196,0.208300,38.9,11.7,50.7
53,2,2.10e-05,0.5094,5.510315,4.967143,0.155056,0.520026,0.014043,2.384851,0.194622,0.208300,38.9,12.7,51.6
54,2,2.05e-05,0.5167,5.481923,4.952504,0.150565,0.518164,0.013814,2.399499,0.201001,0.208300,39.2,12.1,51.4
55,2,2.00e-05,0.5239,5.438158,4.919704,0.146970,0.516963,0.013677,2.413329,0.199474,0.208300,39.2,12.3,51.5
56,2,1.95e-05,0.5312,5.402720,4.902363,0.141727,0.501178,0.013466,2.423389,0.197807,0.208300,38.8,12.3,51.1
57,2,1.90e-05,0.5384,5.393541,4.899554,0.139633,0.500581,0.013299,2.457225,0.202738,0.208300,39.0,12.4,51.4
58,2,1.85e-05,0.5457,5.360710,4.885453,0.134092,0.486536,0.013112,2.459548,0.196516,0.208300,38.9,12.5,51.4
59,2,1.79e-05,0.5529,5.337667,4.875611,0.129645,0.487482,0.012999,2.456828,0.192674,0.208300,39.0,12.2,51.3
60,2,1.73e-05,0.5601,5.317069,4.866860,0.125789,0.485619,0.012891,2.467566,0.197015,0.208300,39.1,12.3,51.5
61,2,1.68e-05,0.5674,5.303994,4.864760,0.121924,0.489751,0.012757,2.482730,0.194135,0.208300,39.1,12.3,51.4
62,2,1.62e-05,0.5746,5.292397,4.869572,0.116960,0.479638,0.012592,2.507813,0.195628,0.208300,38.7,12.4,51.1
