epoch,phase,lr,word_dropout,loss_total,loss_lm,loss_nce,loss_attn,loss_vocab,loss_disc,val_bertscore_f1,best_metric,epoch_time_s,validation_time_s,epoch_wall_time_s
1,1,1.15e-05,0.0000,28.111276,13.584322,4.842318,0.000000,0.435536,0.000000,0.075117,0.075117,23.1,14.7,37.8
2,1,2.38e-05,0.0000,23.358149,9.383914,4.658078,0.000000,0.127749,0.000000,0.112611,0.112611,21.4,12.5,33.8
3,1,3.62e-05,0.0000,21.808014,8.647479,4.386845,0.000000,0.042334,0.000000,0.119325,0.119325,21.4,12.9,34.2
4,1,4.85e-05,0.0000,20.966479,8.477265,4.163071,0.000000,0.033553,0.000000,0.122607,0.122607,21.1,12.6,33.7
5,1,6.08e-05,0.0000,20.251355,8.393122,3.952745,0.000000,0.029061,0.000000,0.124535,0.124535,21.3,12.5,33.8
6,1,7.31e-05,0.0000,19.456479,8.321037,3.711814,0.000000,0.025841,0.000000,0.125686,0.125686,21.2,12.6,33.8
7,1,7.99e-05,0.0000,18.706845,8.285707,3.473713,0.000000,0.023282,0.000000,0.125862,0.125862,21.2,12.8,34.0
8,1,7.93e-05,0.0000,17.863030,8.249640,3.204463,0.000000,0.021265,0.000000,0.125836,0.125862,21.4,12.4,33.8
9,1,7.79e-05,0.0000,16.942285,8.217531,2.908252,0.000000,0.019770,0.000000,0.125545,0.125862,21.6,12.5,34.0
10,1,7.58e-05,0.0000,16.136264,8.185399,2.650288,0.000000,0.018681,0.000000,0.124169,0.125862,21.7,12.9,34.6
11,1,7.32e-05,0.0000,15.388558,8.156754,2.410602,0.000000,0.017790,0.000000,0.126476,0.126476,21.4,12.9,34.2
12,1,6.99e-05,0.0000,14.751585,8.123988,2.209199,0.000000,0.017149,0.000000,0.125320,0.126476,21.1,13.0,34.1
13,1,6.61e-05,0.0000,14.137987,8.066477,2.023837,0.000000,0.016742,0.000000,0.127554,0.127554,21.2,12.6,33.8
14,1,6.18e-05,0.0000,13.425026,7.797353,1.875891,0.000000,0.016748,0.000000,0.129341,0.129341,21.0,12.6,33.6
15,1,5.72e-05,0.0000,12.095710,6.839202,1.752169,0.000000,0.017473,0.000000,0.127110,0.129341,21.3,12.5,33.8
16,1,5.23e-05,0.0000,11.535840,6.586598,1.649747,0.000000,0.017159,0.000000,0.127637,0.129341,21.4,12.6,34.1
17,1,4.71e-05,0.0000,11.125215,6.499574,1.541880,0.000000,0.016751,0.000000,0.128062,0.129341,21.4,12.5,33.9
18,1,4.18e-05,0.0000,10.854021,6.460423,1.464533,0.000000,0.016509,0.000000,0.128348,0.129341,20.9,12.7,33.6
19,1,3.65e-05,0.0000,10.563612,6.426498,1.379038,0.000000,0.016200,0.000000,0.129458,0.129458,21.2,12.8,34.0
20,1,3.12e-05,0.0000,10.386361,6.437524,1.316279,0.000000,0.015990,0.000000,0.129586,0.129586,21.2,12.6,33.8
21,1,2.61e-05,0.0000,10.143862,6.368634,1.258409,0.000000,0.015803,0.000000,0.129880,0.129880,21.2,12.9,34.1
22,1,2.12e-05,0.0000,10.020329,6.388352,1.210659,0.000000,0.015645,0.000000,0.130076,0.130076,21.2,12.9,34.0
23,1,1.67e-05,0.0000,9.842278,6.352493,1.163261,0.000000,0.015524,0.000000,0.130128,0.130128,21.2,12.6,33.8
24,1,1.25e-05,0.0000,9.731631,6.354278,1.125784,0.000000,0.015428,0.000000,0.130638,0.130638,21.4,12.7,34.1
25,1,8.91e-06,0.0000,9.641282,6.360227,1.093685,0.000000,0.015370,0.000000,0.130773,0.130773,21.1,12.6,33.7
26,1,5.83e-06,0.0000,9.533869,6.336170,1.065900,0.000000,0.015302,0.000000,0.130986,0.130986,21.2,12.5,33.7
27,1,3.36e-06,0.0000,9.486548,6.335251,1.050433,0.000000,0.015272,0.000000,0.131003,0.131003,21.3,13.0,34.3
28,1,1.55e-06,0.0000,9.460832,6.351434,1.036466,0.000000,0.015236,0.000000,0.131066,0.131066,21.1,12.6,33.8
29,1,4.24e-07,0.0000,9.415554,6.333216,1.027446,0.000000,0.015232,0.000000,0.131023,0.131066,21.2,12.6,33.7
30,1,2.95e-09,0.0000,9.418517,6.331053,1.029155,0.000000,0.015224,0.000000,0.131082,0.131082,21.0,12.6,33.6
31,2,3.90e-06,0.3500,9.406403,7.360341,0.656665,0.507115,0.015164,1.550575,0.154822,0.154822,35.7,12.7,48.4
32,2,7.80e-06,0.3572,9.219389,7.120297,0.675294,0.488073,0.014800,1.552045,0.173703,0.173703,35.4,12.9,48.4
33,2,1.17e-05,0.3645,9.054758,6.950824,0.677524,0.475750,0.014259,1.566232,0.226880,0.226880,34.9,12.7,47.5
34,2,1.56e-05,0.3717,8.940119,6.820552,0.683219,0.466064,0.013691,1.639833,0.204311,0.226880,35.3,12.3,47.6
35,2,1.95e-05,0.3790,8.826062,6.699199,0.686207,0.454936,0.013126,1.690109,0.197531,0.226880,35.3,12.5,47.8
36,2,2.34e-05,0.3862,8.730489,6.563332,0.700139,0.444940,0.012631,1.756283,0.214015,0.226880,35.4,12.5,47.9
37,2,2.50e-05,0.3935,8.604212,6.452804,0.694697,0.448775,0.012265,1.825429,0.169156,0.226880,35.3,11.8,47.1
38,2,2.50e-05,0.4007,8.456852,6.322781,0.688784,0.451455,0.011942,1.876445,0.169534,0.226880,34.9,11.5,46.3
39,2,2.49e-05,0.4080,8.290069,6.205842,0.672333,0.448188,0.011741,1.931210,0.138481,0.226880,35.2,10.8,46.0
40,2,2.48e-05,0.4152,8.165247,6.089479,0.669708,0.444301,0.011612,2.028475,0.152960,0.226880,35.2,9.8,45.0
41,2,2.47e-05,0.4225,8.033585,5.991538,0.657644,0.460769,0.011530,2.091476,0.140758,0.226880,35.5,10.8,46.3
42,2,2.45e-05,0.4297,7.933480,5.904738,0.652513,0.474697,0.011470,2.146313,0.162815,0.226880,35.5,11.3,46.8
43,2,2.43e-05,0.4370,7.780183,5.826050,0.628108,0.465394,0.011405,2.260382,0.163309,0.226880,35.6,12.4,48.0
44,2,2.41e-05,0.4442,7.683861,5.736757,0.625351,0.473668,0.011335,2.306975,0.164271,0.226880,35.2,11.1,46.2
45,2,2.39e-05,0.4514,7.559027,5.661697,0.608703,0.474802,0.011288,2.386909,0.168090,0.226880,35.4,11.7,47.0
46,2,2.36e-05,0.4587,7.479696,5.611269,0.599668,0.462827,0.011215,2.461960,0.174647,0.226880,35.3,11.0,46.3
47,2,2.33e-05,0.4659,7.410699,5.545050,0.598006,0.477551,0.011145,2.517854,0.181545,0.226880,35.4,11.8,47.2
48,2,2.30e-05,0.4732,7.320558,5.500128,0.583451,0.467186,0.011080,2.581468,0.166125,0.226880,35.8,12.0,47.8
49,2,2.26e-05,0.4804,7.242279,5.446686,0.574982,0.470993,0.011045,2.623318,0.181106,0.226880,35.7,12.2,47.9
50,2,2.23e-05,0.4877,7.170336,5.414841,0.561977,0.463754,0.010963,2.676666,0.173663,0.226880,35.1,11.6,46.8
51,2,2.19e-05,0.4949,7.125415,5.383386,0.556870,0.476127,0.010908,2.743025,0.185359,0.226880,35.5,11.9,47.4
52,2,2.14e-05,0.5022,7.039600,5.338700,0.543602,0.467291,0.010824,2.779115,0.192374,0.226880,35.5,11.7,47.2
53,2,2.10e-05,0.5094,6.992061,5.317399,0.535428,0.455851,0.010746,2.820267,0.177629,0.226880,35.1,12.0,47.0
54,2,2.05e-05,0.5167,6.945653,5.297637,0.525894,0.468890,0.010705,2.879163,0.191296,0.226880,35.4,11.6,47.0
55,2,2.00e-05,0.5239,6.920294,5.292400,0.519501,0.462611,0.010635,2.934052,0.182468,0.226880,34.9,12.0,46.9
56,2,1.95e-05,0.5312,6.823957,5.261042,0.498451,0.450408,0.010578,2.969237,0.194328,0.226880,35.0,12.1,47.0
57,2,1.90e-05,0.5384,6.823448,5.256491,0.499431,0.457763,0.010493,3.010405,0.193564,0.226880,35.2,12.4,47.6
58,2,1.85e-05,0.5457,6.772186,5.248795,0.485484,0.446259,0.010453,3.053793,0.190328,0.226880,35.4,11.9,47.3
59,2,1.79e-05,0.5529,6.726886,5.240585,0.472987,0.448936,0.010388,3.075036,0.200954,0.226880,35.3,11.7,47.0
60,2,1.73e-05,0.5601,6.706526,5.238135,0.466910,0.451068,0.010348,3.130369,0.182465,0.226880,35.1,11.9,47.0
61,2,1.68e-05,0.5674,6.666286,5.232180,0.455198,0.456740,0.010290,3.155905,0.190270,0.226880,35.0,12.5,47.5
62,2,1.62e-05,0.5746,6.661759,5.225248,0.456046,0.455824,0.010248,3.182933,0.183526,0.226880,35.4,12.4,47.8
63,2,1.56e-05,0.5819,6.631874,5.229455,0.445144,0.446578,0.010199,3.222725,0.187090,0.226880,35.2,11.9,47.1
64,2,1.50e-05,0.5891,6.619377,5.223609,0.443065,0.443836,0.010139,3.248952,0.184467,0.226880,35.6,11.6,47.2
65,2,1.44e-05,0.5964,6.588048,5.239041,0.427378,0.445810,0.010092,3.292586,0.186098,0.226880,35.2,12.0,47.2
66,2,1.37e-05,0.6036,6.587897,5.249199,0.424367,0.437320,0.010052,3.331800,0.180566,0.226880,35.3,11.9,47.2
