epoch,phase,lr,word_dropout,loss_total,loss_lm,loss_nce,loss_attn,loss_vocab,loss_disc,val_bertscore_f1,best_metric,epoch_time_s,validation_time_s,epoch_wall_time_s
1,1,1.15e-05,0.0000,27.964420,13.535898,4.809507,0.000000,0.446843,0.000000,0.076312,0.076312,26.4,16.2,42.6
2,1,2.38e-05,0.0000,23.437499,9.520994,4.638835,0.000000,0.146590,0.000000,0.113437,0.113437,25.3,13.2,38.5
3,1,3.62e-05,0.0000,21.961223,8.745925,4.405099,0.000000,0.046217,0.000000,0.119803,0.119803,25.4,12.6,38.1
4,1,4.85e-05,0.0000,21.154448,8.545365,4.203028,0.000000,0.035065,0.000000,0.122267,0.122267,25.2,13.0,38.1
5,1,6.08e-05,0.0000,20.408265,8.450598,3.985889,0.000000,0.029774,0.000000,0.123951,0.123951,24.8,12.7,37.6
6,1,7.31e-05,0.0000,19.743260,8.375890,3.789124,0.000000,0.026140,0.000000,0.124658,0.124658,25.3,12.7,38.0
7,1,7.99e-05,0.0000,19.121632,8.322874,3.599586,0.000000,0.023404,0.000000,0.125264,0.125264,25.2,12.8,38.0
8,1,7.93e-05,0.0000,18.332848,8.282932,3.349972,0.000000,0.021247,0.000000,0.124998,0.125264,25.2,12.8,38.0
9,1,7.79e-05,0.0000,17.503299,8.246218,3.085694,0.000000,0.019600,0.000000,0.124336,0.125264,25.0,12.7,37.7
10,1,7.58e-05,0.0000,16.741232,8.224009,2.839075,0.000000,0.018414,0.000000,0.125601,0.125601,25.2,13.1,38.3
11,1,7.32e-05,0.0000,16.073870,8.205231,2.622880,0.000000,0.017521,0.000000,0.126206,0.126206,25.5,13.3,38.8
12,1,6.99e-05,0.0000,15.458343,8.183866,2.424826,0.000000,0.016823,0.000000,0.125087,0.126206,24.9,13.3,38.2
13,1,6.61e-05,0.0000,14.995287,8.167075,2.276071,0.000000,0.016252,0.000000,0.126119,0.126206,25.1,13.1,38.1
14,1,6.18e-05,0.0000,14.506183,8.146467,2.119905,0.000000,0.015769,0.000000,0.126011,0.126206,25.2,12.8,38.0
15,1,5.71e-05,0.0000,14.123077,8.130935,1.997381,0.000000,0.015389,0.000000,0.126432,0.126432,25.4,12.7,38.1
16,1,5.22e-05,0.0000,13.775489,8.111334,1.888052,0.000000,0.015033,0.000000,0.127286,0.127286,25.0,13.2,38.2
17,1,4.70e-05,0.0000,13.435827,8.096049,1.779926,0.000000,0.014721,0.000000,0.127868,0.127868,25.0,12.6,37.7
18,1,4.17e-05,0.0000,13.198489,8.080270,1.706073,0.000000,0.014462,0.000000,0.129835,0.129835,25.2,12.8,38.0
19,1,3.63e-05,0.0000,12.950977,8.065787,1.628397,0.000000,0.014252,0.000000,0.127425,0.129835,25.3,12.6,37.9
20,1,3.11e-05,0.0000,12.793044,8.054892,1.579384,0.000000,0.014065,0.000000,0.129426,0.129835,25.2,12.5,37.7
21,1,2.59e-05,0.0000,12.588046,8.040795,1.515750,0.000000,0.013908,0.000000,0.129362,0.129835,25.0,13.0,38.0
22,1,2.11e-05,0.0000,12.420926,8.035259,1.461889,0.000000,0.013784,0.000000,0.129771,0.129835,25.2,12.7,37.9
23,1,1.65e-05,0.0000,12.306026,8.020615,1.428470,0.000000,0.013668,0.000000,0.130422,0.130422,25.3,13.0,38.3
24,1,1.24e-05,0.0000,12.173762,8.017270,1.385497,0.000000,0.013584,0.000000,0.129796,0.130422,25.3,12.9,38.2
25,1,8.82e-06,0.0000,12.039709,8.013557,1.342051,0.000000,0.013509,0.000000,0.129985,0.130422,25.5,12.7,38.2
26,1,5.76e-06,0.0000,11.983277,8.004027,1.326417,0.000000,0.013452,0.000000,0.130194,0.130422,25.1,12.7,37.8
27,1,3.31e-06,0.0000,11.909915,8.003752,1.302054,0.000000,0.013420,0.000000,0.130230,0.130422,25.4,12.7,38.1
28,1,1.51e-06,0.0000,11.891039,8.001977,1.296354,0.000000,0.013399,0.000000,0.130310,0.130422,25.2,12.8,38.1
29,1,4.04e-07,0.0000,11.850105,7.999353,1.283584,0.000000,0.013382,0.000000,0.130356,0.130422,25.1,13.7,38.8
30,1,1.51e-09,0.0000,11.841333,7.999050,1.280761,0.000000,0.013378,0.000000,0.130344,0.130422,25.5,13.0,38.5
31,2,3.90e-06,0.3500,10.752691,7.980884,0.864082,1.197062,0.013326,0.896756,0.145754,0.145754,44.1,13.3,57.3
32,2,7.80e-06,0.3572,10.628380,7.861270,0.870527,1.036851,0.013035,0.903710,0.179159,0.179159,44.3,12.7,57.0
33,2,1.17e-05,0.3645,10.529900,7.740404,0.885174,0.893170,0.012585,0.921609,0.229159,0.229159,44.5,12.6,57.1
34,2,1.56e-05,0.3717,10.373734,7.568792,0.894993,0.799759,0.012060,1.008083,0.230580,0.230580,44.3,12.5,56.8
35,2,1.95e-05,0.3790,10.146575,7.367602,0.891026,0.705977,0.011533,1.114770,0.220080,0.230580,44.1,13.4,57.5
