epoch,phase,lr,word_dropout,loss_total,loss_lm,loss_nce,loss_attn,loss_vocab,loss_disc,val_bertscore_f1,best_metric,epoch_time_s,validation_time_s,epoch_wall_time_s
1,1,1.15e-05,0.0000,27.208596,12.704085,4.834837,0.000000,0.464388,0.000000,0.086688,0.086688,52.6,25.7,78.2
2,1,2.38e-05,0.0000,23.357504,9.471153,4.628783,0.000000,0.139654,0.000000,0.112230,0.112230,55.0,26.6,81.6
3,1,3.62e-05,0.0000,21.833936,8.702168,4.377256,0.000000,0.046770,0.000000,0.117690,0.117690,59.4,23.8,83.2
4,1,4.85e-05,0.0000,21.108460,8.513353,4.198369,0.000000,0.036349,0.000000,0.119467,0.119467,56.6,24.6,81.2
5,1,6.08e-05,0.0000,20.315361,8.423498,3.963955,0.000000,0.030782,0.000000,0.121873,0.121873,60.4,26.0,86.4
6,1,7.31e-05,0.0000,19.458294,8.348108,3.703395,0.000000,0.027014,0.000000,0.121829,0.121873,55.4,24.5,79.9
7,1,7.99e-05,0.0000,18.642368,8.300284,3.447361,0.000000,0.024017,0.000000,0.125322,0.125322,59.2,24.6,83.7
8,1,7.93e-05,0.0000,17.765726,8.252965,3.170920,0.000000,0.021631,0.000000,0.124568,0.125322,56.5,24.7,81.1
9,1,7.79e-05,0.0000,16.958862,8.211484,2.915793,0.000000,0.020010,0.000000,0.126092,0.126092,55.8,25.4,81.2
10,1,7.58e-05,0.0000,16.217430,8.187083,2.676782,0.000000,0.018869,0.000000,0.130014,0.130014,55.2,26.7,81.9
11,1,7.32e-05,0.0000,15.537208,8.165895,2.457104,0.000000,0.017962,0.000000,0.128054,0.130014,59.1,24.3,83.4
12,1,6.99e-05,0.0000,14.929483,8.136098,2.264462,0.000000,0.017167,0.000000,0.131648,0.131648,55.7,26.0,81.8
13,1,6.61e-05,0.0000,14.357715,8.116800,2.080305,0.000000,0.016564,0.000000,0.131554,0.131648,54.2,24.9,79.1
14,1,6.18e-05,0.0000,13.920556,8.100794,1.939921,0.000000,0.016065,0.000000,0.131123,0.131648,60.9,25.6,86.5
15,1,5.71e-05,0.0000,13.580348,8.080375,1.833324,0.000000,0.015653,0.000000,0.134390,0.134390,54.6,27.1,81.7
16,1,5.22e-05,0.0000,13.195650,8.051979,1.714557,0.000000,0.015344,0.000000,0.134353,0.134390,54.8,23.9,78.7
17,1,4.70e-05,0.0000,12.857764,8.026789,1.610325,0.000000,0.015095,0.000000,0.135674,0.135674,57.3,24.5,81.8
18,1,4.17e-05,0.0000,12.593849,7.998225,1.531875,0.000000,0.014916,0.000000,0.134427,0.135674,56.9,26.8,83.8
19,1,3.63e-05,0.0000,12.354445,7.952299,1.467382,0.000000,0.014838,0.000000,0.139204,0.139204,57.8,23.7,81.5
20,1,3.11e-05,0.0000,12.004541,7.775316,1.409742,0.000000,0.015158,0.000000,0.141704,0.141704,56.1,24.6,80.8
21,1,2.59e-05,0.0000,11.201500,7.108089,1.364470,0.000000,0.016590,0.000000,0.142860,0.142860,61.5,24.9,86.4
22,1,2.11e-05,0.0000,10.673364,6.694778,1.326195,0.000000,0.017407,0.000000,0.143252,0.143252,60.3,25.7,86.0
23,1,1.66e-05,0.0000,10.382504,6.533301,1.283068,0.000000,0.017406,0.000000,0.144274,0.144274,57.9,25.9,83.8
24,1,1.25e-05,0.0000,10.259024,6.496698,1.254109,0.000000,0.017265,0.000000,0.145820,0.145820,59.8,24.2,84.0
25,1,8.86e-06,0.0000,10.172172,6.476318,1.231951,0.000000,0.017156,0.000000,0.144681,0.145820,54.7,26.7,81.4
26,1,5.80e-06,0.0000,10.028678,6.428425,1.200084,0.000000,0.017013,0.000000,0.146084,0.146084,61.6,23.9,85.4
27,1,3.34e-06,0.0000,9.952666,6.407978,1.181563,0.000000,0.016933,0.000000,0.147190,0.147190,61.3,27.1,88.4
28,1,1.53e-06,0.0000,9.950630,6.428674,1.173985,0.000000,0.016897,0.000000,0.147586,0.147586,57.7,25.2,82.9
29,1,4.14e-07,0.0000,9.904834,6.407564,1.165756,0.000000,0.016897,0.000000,0.147973,0.147973,54.3,24.1,78.4
30,1,2.17e-09,0.0000,9.886392,6.406902,1.159830,0.000000,0.016899,0.000000,0.147995,0.147995,57.9,24.7,82.6
31,2,3.90e-06,0.3500,9.725532,7.377440,0.756727,0.519413,0.016740,1.526247,0.190619,0.190619,77.0,13.2,90.2
32,2,7.80e-06,0.3572,9.505765,7.119059,0.770109,0.509198,0.016198,1.511263,0.228814,0.228814,75.2,12.9,88.1
33,2,1.17e-05,0.3645,9.369801,6.944933,0.782850,0.508781,0.015564,1.570426,0.217306,0.228814,74.6,12.7,87.3
34,2,1.56e-05,0.3717,9.220708,6.776418,0.790340,0.488469,0.014931,1.624604,0.194351,0.228814,75.3,12.8,88.2
35,2,1.95e-05,0.3790,9.086254,6.621228,0.797358,0.486353,0.014476,1.688685,0.194873,0.228814,77.5,12.5,90.0
36,2,2.34e-05,0.3862,8.964660,6.477230,0.804914,0.484591,0.014096,1.800434,0.152617,0.228814,77.2,11.7,89.0
37,2,2.50e-05,0.3935,8.805306,6.303361,0.809491,0.489811,0.013819,1.847555,0.141732,0.228814,74.1,10.7,84.8
38,2,2.50e-05,0.4007,8.636819,6.165325,0.799189,0.492848,0.013555,1.934404,0.154222,0.228814,75.3,11.3,86.6
39,2,2.49e-05,0.4080,8.498122,6.045741,0.792926,0.490687,0.013390,2.009978,0.145256,0.228814,76.6,11.5,88.1
