epoch,phase,lr,word_dropout,loss_total,loss_lm,loss_nce,loss_attn,loss_vocab,loss_disc,val_bertscore_f1,best_metric,epoch_time_s,validation_time_s,epoch_wall_time_s
1,1,1.17e-05,0.0000,26.462562,11.989869,4.824231,0.000000,0.463619,0.000000,0.090839,0.090839,32.2,13.1,45.3
2,1,2.40e-05,0.0000,23.126523,9.203679,4.640948,0.000000,0.131981,0.000000,0.117392,0.117392,35.3,13.5,48.9
3,1,3.63e-05,0.0000,21.755106,8.595710,4.386466,0.000000,0.046809,0.000000,0.120880,0.120880,35.3,12.8,48.1
4,1,4.86e-05,0.0000,20.980406,8.450146,4.176753,0.000000,0.037874,0.000000,0.121831,0.121831,35.4,12.8,48.1
5,1,6.10e-05,0.0000,20.260862,8.377374,3.961163,0.000000,0.033402,0.000000,0.122988,0.122988,36.7,13.5,50.2
6,1,7.33e-05,0.0000,19.558061,8.307112,3.750316,0.000000,0.029991,0.000000,0.124410,0.124410,36.6,13.4,50.0
7,1,7.99e-05,0.0000,18.852745,8.270177,3.527523,0.000000,0.027439,0.000000,0.123725,0.124410,35.7,13.7,49.4
8,1,7.93e-05,0.0000,18.048854,8.228866,3.273329,0.000000,0.025302,0.000000,0.123957,0.124410,35.6,13.6,49.2
9,1,7.79e-05,0.0000,17.165670,8.189856,2.991938,0.000000,0.023593,0.000000,0.124133,0.124410,36.1,13.6,49.8
10,1,7.58e-05,0.0000,16.364649,8.160876,2.734591,0.000000,0.022366,0.000000,0.126262,0.126262,36.5,13.4,49.9
11,1,7.32e-05,0.0000,15.638053,8.130643,2.502470,0.000000,0.021342,0.000000,0.125528,0.126262,36.9,13.6,50.5
12,1,6.99e-05,0.0000,15.006481,8.106692,2.299929,0.000000,0.020499,0.000000,0.126166,0.126262,34.8,13.6,48.4
13,1,6.61e-05,0.0000,14.496115,8.069831,2.142095,0.000000,0.019892,0.000000,0.127607,0.127607,39.8,25.7,65.4
14,1,6.18e-05,0.0000,13.925428,7.954998,1.990143,0.000000,0.019576,0.000000,0.127248,0.127607,40.0,25.0,65.0
15,1,5.73e-05,0.0000,12.626968,7.031357,1.865204,0.000000,0.020292,0.000000,0.127050,0.127607,39.1,15.4,54.5
16,1,5.23e-05,0.0000,11.871113,6.553898,1.772405,0.000000,0.020127,0.000000,0.127029,0.127607,37.4,15.2,52.6
17,1,4.71e-05,0.0000,11.473794,6.486839,1.662318,0.000000,0.019433,0.000000,0.127792,0.127792,47.5,28.2,75.7
18,1,4.18e-05,0.0000,11.204392,6.444492,1.586633,0.000000,0.018945,0.000000,0.127542,0.127792,43.4,16.5,59.9
19,1,3.65e-05,0.0000,10.966385,6.426192,1.513398,0.000000,0.018526,0.000000,0.127999,0.127999,37.6,15.7,53.2
20,1,3.12e-05,0.0000,10.767478,6.429081,1.446132,0.000000,0.018215,0.000000,0.128704,0.128704,39.2,15.0,54.2
21,1,2.61e-05,0.0000,10.550809,6.384860,1.388650,0.000000,0.017990,0.000000,0.128108,0.128704,36.7,14.7,51.4
22,1,2.12e-05,0.0000,10.404497,6.408261,1.332079,0.000000,0.017767,0.000000,0.128269,0.128704,39.4,15.7,55.1
23,1,1.67e-05,0.0000,10.213776,6.347601,1.288725,0.000000,0.017604,0.000000,0.128195,0.128704,43.2,26.1,69.4
24,1,1.25e-05,0.0000,10.126881,6.376486,1.250132,0.000000,0.017433,0.000000,0.129094,0.129094,40.2,30.7,70.9
25,1,8.91e-06,0.0000,9.985738,6.362543,1.207732,0.000000,0.017309,0.000000,0.129657,0.129657,43.3,26.2,69.4
26,1,5.83e-06,0.0000,9.918635,6.348252,1.190128,0.000000,0.017243,0.000000,0.129419,0.129657,39.4,25.1,64.6
27,1,3.36e-06,0.0000,9.840798,6.334059,1.168913,0.000000,0.017192,0.000000,0.129566,0.129657,36.3,25.0,61.3
28,1,1.55e-06,0.0000,9.844500,6.375597,1.156301,0.000000,0.017144,0.000000,0.129705,0.129705,36.7,24.8,61.4
29,1,4.24e-07,0.0000,9.813178,6.361685,1.150497,0.000000,0.017133,0.000000,0.129852,0.129852,35.9,25.7,61.6
30,1,2.95e-09,0.0000,9.766111,6.338728,1.142461,0.000000,0.017104,0.000000,0.129620,0.129852,35.9,26.1,62.0
31,2,3.85e-06,0.3500,9.705487,7.370515,0.753424,0.498011,0.017003,1.546884,0.157165,0.157165,53.9,13.2,67.1
32,2,7.75e-06,0.3572,9.488198,7.108529,0.769108,0.482295,0.016477,1.533359,0.185897,0.185897,54.2,13.2,67.4
33,2,1.17e-05,0.3645,9.358882,6.965188,0.774031,0.477341,0.015620,1.572437,0.198851,0.198851,53.9,12.9,66.8
34,2,1.56e-05,0.3717,9.251128,6.841133,0.780088,0.464875,0.014696,1.617590,0.244438,0.244438,53.5,12.6,66.1
35,2,1.95e-05,0.3790,9.133263,6.734691,0.776847,0.453537,0.013844,1.646274,0.214964,0.244438,53.8,12.6,66.4
36,2,2.34e-05,0.3862,9.030449,6.631822,0.777730,0.436243,0.013051,1.701303,0.187628,0.244438,53.0,12.4,65.4
37,2,2.50e-05,0.3935,8.932722,6.530790,0.779201,0.428862,0.012378,1.764186,0.214960,0.244438,52.8,12.6,65.4
38,2,2.50e-05,0.4007,8.822881,6.436660,0.773608,0.435995,0.011885,1.805893,0.225355,0.244438,53.1,12.8,65.9
39,2,2.49e-05,0.4080,8.702241,6.348806,0.762907,0.431429,0.011495,1.855191,0.203276,0.244438,52.7,12.8,65.5
40,2,2.48e-05,0.4152,8.550516,6.255145,0.744464,0.413182,0.011222,1.936285,0.156036,0.244438,53.4,13.0,66.4
41,2,2.47e-05,0.4225,8.447352,6.179562,0.734771,0.423178,0.010997,1.970114,0.164977,0.244438,54.5,11.8,66.3
42,2,2.45e-05,0.4297,8.322634,6.102974,0.718448,0.428766,0.010817,2.003823,0.165179,0.244438,54.2,12.0,66.2
43,2,2.43e-05,0.4370,8.200284,6.027077,0.703408,0.419890,0.010700,2.095852,0.134154,0.244438,63.6,15.2,78.8
44,2,2.41e-05,0.4442,8.132724,5.962056,0.702065,0.429821,0.010615,2.140913,0.158468,0.244438,68.8,15.4,84.2
45,2,2.39e-05,0.4514,8.021632,5.879706,0.692262,0.434266,0.010545,2.201751,0.141762,0.244438,68.5,21.5,89.9
46,2,2.36e-05,0.4587,7.895528,5.804880,0.675053,0.436593,0.010503,2.295273,0.154510,0.244438,71.3,21.3,92.6
47,2,2.33e-05,0.4659,7.828835,5.739537,0.674042,0.447812,0.010486,2.357446,0.162872,0.244438,72.4,17.4,89.8
48,2,2.30e-05,0.4732,7.763365,5.684315,0.670876,0.442813,0.010449,2.464446,0.167075,0.244438,75.0,17.2,92.2
49,2,2.26e-05,0.4804,7.661242,5.622245,0.657378,0.445761,0.010420,2.519399,0.169008,0.244438,63.2,12.8,76.0
50,2,2.23e-05,0.4877,7.553739,5.562154,0.641081,0.455605,0.010386,2.585464,0.171676,0.244438,55.1,11.6,66.7
51,2,2.19e-05,0.4949,7.506905,5.525623,0.637070,0.467151,0.010368,2.661981,0.176411,0.244438,58.1,12.7,70.8
52,2,2.14e-05,0.5022,7.427284,5.477191,0.626831,0.464003,0.010308,2.714663,0.173340,0.244438,59.0,13.6,72.5
53,2,2.10e-05,0.5094,7.361138,5.445252,0.615640,0.459779,0.010268,2.773679,0.181927,0.244438,58.3,12.9,71.2
